0.3_stalin_desc,650_stalin_desc,783_stalin_desc,455_stalin_desc,324_stalin_desc,414_stalin_desc,615_stalin_desc,253_stalin_desc,289_stalin_desc,222_stalin_desc,383_stalin_desc,512_stalin_desc,177_stalin_desc,72_stalin_desc,185_stalin_desc,81_stalin_desc,429_stalin_desc,746_stalin_desc,490_stalin_desc,410_stalin_desc,155_stalin_desc,174_stalin_desc
,649.0,771,430.0,292.0,,,,,184.0,360.0,487.0,,,158.0,60.0,380.0,728.0,450.0,,120.0,155.0
,649.0,771,430.0,292.0,,,,,182.0,359.0,487.0,,,158.0,60.0,379.0,728.0,450.0,,120.0,155.0
,649.0,771,430.0,291.0,,,,,182.0,358.0,487.0,,,157.0,60.0,379.0,728.0,449.0,,118.0,154.0
,649.0,771,430.0,291.0,,,,,182.0,356.0,487.0,,,157.0,59.0,379.0,728.0,449.0,,118.0,153.0
,649.0,771,430.0,291.0,,,,,180.0,355.0,486.0,,,157.0,58.0,379.0,728.0,449.0,,116.0,152.0
,648.0,771,428.0,291.0,,,,,180.0,353.0,486.0,,,155.0,57.0,378.0,728.0,449.0,,116.0,152.0
,648.0,769,428.0,290.0,,,,,180.0,351.0,485.0,,,155.0,57.0,377.0,728.0,449.0,,116.0,150.0
,648.0,769,427.0,290.0,,,,,178.0,350.0,484.0,,,154.0,56.0,375.0,728.0,448.0,,116.0,149.0
,648.0,769,426.0,289.0,,,,,171.0,348.0,484.0,,,154.0,56.0,374.0,728.0,447.0,,116.0,149.0
,648.0,769,425.0,288.0,,,,,171.0,347.0,484.0,,,154.0,56.0,372.0,728.0,447.0,,113.0,147.0
,648.0,769,424.0,288.0,,,,,171.0,347.0,483.0,,,153.0,55.0,370.0,728.0,445.0,,111.0,146.0
,648.0,769,424.0,286.0,,,,,171.0,347.0,481.0,,,153.0,55.0,370.0,728.0,445.0,,111.0,146.0
,648.0,769,424.0,285.0,,,,,171.0,347.0,481.0,,,153.0,54.0,369.0,727.0,444.0,,109.0,145.0
,648.0,768,423.0,284.0,,,,,169.0,347.0,481.0,,,153.0,53.0,368.0,727.0,442.0,,107.0,143.0
,648.0,767,421.0,283.0,,,,,169.0,347.0,481.0,,,153.0,52.0,366.0,726.0,440.0,,107.0,143.0
,648.0,767,420.0,283.0,,,,,167.0,347.0,481.0,,,152.0,51.0,365.0,726.0,439.0,,107.0,143.0
,648.0,767,418.0,283.0,,,,,167.0,347.0,481.0,,,152.0,51.0,364.0,726.0,437.0,,107.0,142.0
,648.0,766,417.0,283.0,,,,,167.0,346.0,480.0,,,152.0,50.0,364.0,726.0,437.0,,107.0,142.0
,648.0,766,415.0,283.0,,,,,165.0,345.0,479.0,,,152.0,49.0,364.0,726.0,437.0,,104.0,142.0
,648.0,766,414.0,283.0,,,,,165.0,344.0,478.0,,,152.0,49.0,362.0,726.0,436.0,,104.0,141.0
,648.0,766,414.0,283.0,,,,,165.0,343.0,476.0,,,150.0,49.0,361.0,726.0,434.0,,104.0,141.0
,645.0,766,414.0,283.0,,,,,163.0,341.0,476.0,,,150.0,49.0,360.0,726.0,433.0,,102.0,140.0
,644.0,766,413.0,283.0,,,,,163.0,341.0,476.0,,,150.0,48.0,358.0,726.0,432.0,,102.0,140.0
,642.0,764,413.0,281.0,,,,,163.0,341.0,476.0,,,150.0,47.0,357.0,724.0,432.0,,102.0,140.0
,641.0,763,413.0,281.0,,,,,163.0,341.0,475.0,,,148.0,46.0,355.0,724.0,432.0,,100.0,138.0
